Date,WindSpeed,WindDirection,WindEnergy
03/12/2016 00:00:00,10.06,107,125212.53
04/12/2016 00:00:00,8.05,123,75150.79
05/12/2016 00:00:00,4.82,127,17982.41
06/12/2016 00:00:00,5.24,141,35673.32
07/12/2016 00:00:00,5.6,154,64050.5
08/12/2016 00:00:00,6.73,145,87780.94
09/12/2016 00:00:00,6.55,147,118808.16
10/12/2016 00:00:00,6.57,151,95902.81
11/12/2016 00:00:00,4.88,174,43618.76
12/12/2016 00:00:00,4.18,185,5025.82
13/12/2016 00:00:00,5.13,145,43887.83
14/12/2016 00:00:00,7.16,234,72855.73
15/12/2016 00:00:00,7.14,179,85317.87
16/12/2016 00:00:00,7.43,333,57866.54
17/12/2016 00:00:00,7.25,71,102215.77
18/12/2016 00:00:00,6.95,79,76642.22
19/12/2016 00:00:00,6.18,46,100203.69
20/12/2016 00:00:00,5.06,311,9108.15
21/12/2016 00:00:00,5.67,226,24451.22
22/12/2016 00:00:00,7.06,235,58482.07
23/12/2016 00:00:00,5.81,227,26164.29
24/12/2016 00:00:00,4.06,218,155.3
25/12/2016 00:00:00,4.69,120,5599.69
26/12/2016 00:00:00,6.75,65,70371.34
27/12/2016 00:00:00,5.8,141,21982.99
28/12/2016 00:00:00,5.18,158,5134.9
29/12/2016 00:00:00,5.28,107,4026.83
30/12/2016 00:00:00,5.49,174,9420.54
31/12/2016 00:00:00,5.27,191,1129.5
01/01/2017 00:00:00,5.46,198,23674.22
02/01/2017 00:00:00,10.05,111,129000.29
03/01/2017 00:00:00,6.98,129,60801.14
04/01/2017 00:00:00,2.75,137,399.93
05/01/2017 00:00:00,4.4,82,28486.45
06/01/2017 00:00:00,8.44,88,107333
07/01/2017 00:00:00,8,92,90999.67
08/01/2017 00:00:00,5.32,93,36214.89
09/01/2017 00:00:00,5.52,72,40070.52
10/01/2017 00:00:00,7.9,315,64809.15
11/01/2017 00:00:00,4.26,303,10034.6
12/01/2017 00:00:00,8.11,240,113786.68
13/01/2017 00:00:00,7.43,322,55305.72
14/01/2017 00:00:00,6.17,344,16798.01
15/01/2017 00:00:00,5.08,356,4769.37
16/01/2017 00:00:00,5.34,14,17776.85
17/01/2017 00:00:00,8.41,44,164310.96
18/01/2017 00:00:00,9.83,56,257447.23
19/01/2017 00:00:00,6.54,60,107331.03
20/01/2017 00:00:00,6.8,78,53781.99
21/01/2017 00:00:00,3.59,90,7042.03
22/01/2017 00:00:00,3.84,23,7230.39
23/01/2017 00:00:00,3.98,58,15852.52
24/01/2017 00:00:00,4.25,124,18631.44
25/01/2017 00:00:00,3.81,144,18230.39
26/01/2017 00:00:00,8.24,147,122353.35
